date,volume
2017-01-13,1150.754
2017-01-14,4.375
2017-01-15,5141.792
2017-01-16,168.626
2017-01-17,6.5
2017-01-18,318.792
2017-01-19,7.5
2017-01-20,309.751
2017-01-21,139.75
2017-01-22,0
2017-01-23,0
2017-01-24,188.584
2017-01-25,11.334
2017-01-26,8.5
2017-01-27,0
2017-01-28,0
2017-01-29,0
2017-01-30,0
2017-01-31,0
2017-02-01,0
2017-02-02,3
2017-02-03,1058.5
2017-02-04,168.25
2017-02-05,0
2017-02-06,3
2017-02-07,882.875
2017-02-08,585.125
2017-02-09,213.5
2017-02-10,1082.25
2017-02-11,2.5
2017-02-12,159
2017-02-13,213.25
2017-02-14,208.375
2017-02-15,2.5
2017-02-16,424.167
2017-02-17,1.5
2017-02-18,4.5
2017-02-19,341.044
2017-02-20,999.754
2017-02-21,706.253
2017-02-22,1008.082
2017-02-23,1146.791
2017-02-24,1151.329
2017-02-25,204.375
2017-02-26,0
2017-02-27,179.709
2017-02-28,205.627
2017-03-01,0
2017-03-02,655.378
2017-03-03,412.293
2017-03-04,2
2017-03-05,287.749
2017-03-06,315.378
2017-03-07,5.333
2017-03-08,892.248
2017-03-09,407.041
2017-03-10,1082.377
2017-03-11,183.959
2017-03-12,0
2017-03-13,236.252
2017-03-14,281.5
2017-03-15,281.417
2017-03-16,250.043
2017-03-17,694.962
2017-03-18,2.5
2017-03-19,493.834
2017-03-20,1037.461
2017-03-21,945.71
2017-03-22,656.96
2017-03-23,563.335
2017-03-24,477.747
2017-03-25,320.999
2017-03-26,0
2017-03-27,347.459
2017-03-28,5
2017-03-29,2262.333
2017-03-30,1180.417
2017-03-31,9.334
2017-04-01,725.25
2017-04-02,0
2017-04-03,0
2017-04-04,328.5
2017-04-05,282.834
2017-04-06,0
2017-04-07,261.375
2017-04-08,2.75
2017-04-09,229
2017-04-10,287.292
2017-04-11,388
2017-04-12,1258.918
2017-04-13,1188.292
2017-04-14,319.792
2017-04-15,16.626
2017-04-16,247.5
2017-04-17,337.542
2017-04-18,828.875
2017-04-19,0
2017-04-20,1170.903
2017-04-21,499.709
2017-04-22,295.442
2017-04-23,4
2017-04-24,857.918
2017-04-25,402.251
2017-04-26,0
2017-04-27,820.381
2017-04-28,560.095
2017-04-29,1.25
2017-04-30,368.752
2017-05-01,0
2017-05-02,926.418
2017-05-03,1495.007
2017-05-04,1659.92
2017-05-05,1808.88
2017-05-06,6.834
2017-05-07,1242.67
